ID,GRAD_YEAR,AOC_num,AOC,DIVISION,Industry,Industry2,Position,Org_Name
224,2008,2,Chemistry,Natural Sciences,Retail,"Business, Finance, and Retail",Visual Merchandising/Inventory,Apple Store
225,2020,1,Biology,Natural Sciences,Dentistry,Health and Medicine,Administrative Assistant,"Florida Affiliated Dental Support, LLC"
225,2020,2,Chemistry,Natural Sciences,Dentistry,Health and Medicine,Administrative Assistant,"Florida Affiliated Dental Support, LLC"
226,2013,1,Biology,Natural Sciences,Education,Education,Assoc Instructor of Dev Biology,Indiana University
226,2013,2,Chemistry,Natural Sciences,Education,Education,Assoc Instructor of Dev Biology,Indiana University
227,2005,1,Biology,Natural Sciences,Engineering,STEM,Engineer,"Merck& Co., Inc."
227,2005,2,Gender Studies,Social Sciences,Engineering,STEM,Engineer,"Merck& Co., Inc."
228,2012,1,Biology,Natural Sciences,Education,Education,Research Technologist,Johns Hopkins University School of Medicine
228,2012,2,Gender Studies,Social Sciences,Education,Education,Research Technologist,Johns Hopkins University School of Medicine
229,2018,1,Music,Humanities,Farming,STEM,Manager of Horticultural Exhibitions,Marie Selby Botanical Gardens
229,2018,2,Biology,Natural Sciences,Farming,STEM,Manager of Horticultural Exhibitions,Marie Selby Botanical Gardens
230,2013,1,Biology,Natural Sciences,Education,Education,Private Tutor,Steady Point
231,2007,1,Biopsychology,Interdisciplinary,Healthcare,Health and Medicine,Acupuncture Physician,Points of Health
232,2003,1,Biopsychology,Interdisciplinary,Entertainment,Arts and Media,Developer,E.W. Scripps
233,2011,1,Biopsychology,Interdisciplinary,Medical,Health and Medicine,Veterinary Technician,Jackson Veterinary Hospital
234,2017,1,Biopsychology,Interdisciplinary,Education,Education,Psychology Tech,New College of Florida
235,2019,1,Biopsychology,Interdisciplinary,Consulting,"Business, Finance, and Retail",Asistant Consultant,The Center for Organizational Effectiveness
236,2013,1,Biopsychology,Interdisciplinary,Non Profit,Government and Social Services,Intake Counselor,Women Against Abuse
237,2017,1,Biopsychology,Interdisciplinary,Retail,"Business, Finance, and Retail",Aquatics Specialist,PetCo
238,2015,1,English,Humanities,Marketing,"Business, Finance, and Retail","Fundraising, Marketing & Communications Specialist",Soukup Strategic Solutions
239,2004,1,English,Humanities,Non Profit,Government and Social Services,"Student/Faculty, Researcher, Consultant",Case Western Reserve University
240,2007,1,English,Humanities,Education,Education,Administrative Assistant,University of Texas-Austin
241,2008,1,English,Humanities,Education,Education,Assistant Director of Libraries,Pasco Hernando Community College
242,2006,1,English,Humanities,Arts & Entertainment,Arts and Media,Clown,Cheery the Clown
243,2003,1,English,Humanities,IT Communications,STEM,Content Strategist,Eat Media
244,2003,1,English,Humanities,Journalism,Arts and Media,Writer,The Guardian
245,2007,1,English,Humanities,Education,Education,Professor - English,Palm Beach State College
246,2007,1,English,Humanities,Public Relations,Government and Social Services,Marketing Writer,Spiralgroup
247,2005,1,English,Humanities,Education,Education,Software Engineer,Harvard University
248,2002,1,English,Humanities,Education,Education,Librarian,Alexandria Public Library
249,2002,1,English,Humanities,Media,Arts and Media,Director of Content Operations,Callisto Media
250,2007,1,English,Humanities,Pet Food,"Business, Finance, and Retail",Field Marketing Manager,I & Love & You
250,2007,2,Gender Studies,Social Sciences,Pet Food,"Business, Finance, and Retail",Field Marketing Manager,I & Love & You
251,2007,1,English,Humanities,Media,Arts and Media,Newswriter,FIS
251,2007,2,Gender Studies,Social Sciences,Media,Arts and Media,Newswriter,FIS
252,2006,1,English,Humanities,Communications,Arts and Media,Bike Messenger,Speedway
252,2006,2,Gender Studies,Social Sciences,Communications,Arts and Media,Bike Messenger,Speedway
253,2002,1,English,Humanities,Education,Education,Adjunct of L&L Department,State College of Florida
253,2002,2,Gender Studies,Social Sciences,Education,Education,Adjunct of L&L Department,State College of Florida
254,2002,1,English,Humanities,Education,Education,Assistant Professor,Arizona State University
254,2002,2,Gender Studies,Social Sciences,Education,Education,Assistant Professor,Arizona State University
255,2005,1,English,Humanities,Environmental,STEM,Geologist,Unknown
255,2005,2,Performance Studies,Interdisciplinary,Environmental,STEM,Geologist,Unknown
256,2006,1,English,Humanities,Entertainment,Arts and Media,Writer/Actor/Director/Composer,Little Grey Hat Productions
256,2006,2,Performance Studies,Interdisciplinary,Entertainment,Arts and Media,Writer/Actor/Director/Composer,Little Grey Hat Productions
257,2016,1,Chemistry,Natural Sciences,Education,Education,Campus Visit Coordinator,New College of Florida
258,2008,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,NA,Veterans health administration
259,2002,1,Chemistry,Natural Sciences,Religion,Government and Social Services,Missionary to West Africa,Dynamic International Ministry
260,2015,1,Chemistry,Natural Sciences,Real Estate,"Business, Finance, and Retail",Licensed Realtor,Keller Williams Realty
261,2005,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Orthopaedic Surgeon,HCA Healthcare
262,2003,1,Chemistry,Natural Sciences,Law,Government and Social Services,Attorney,Unknown
263,2013,1,Chemistry,Natural Sciences,Research,STEM,Chemistry Research Assistant,Texas A&M University
264,2007,1,Chemistry,Natural Sciences,Manufacturing,STEM,Director of NIF Capsule Production,General Atomics
265,2004,1,Chemistry,Natural Sciences,Engineering,STEM,Staff Modeling Scientist / Engineering Manager,Quantcast
266,2011,1,Chemistry,Natural Sciences,Education,Education,Graduate Assistant,Johns Hopkins University
267,2010,1,Chemistry,Natural Sciences,Education,Education,Research Assistant,Massachusetts Institute of Technology
268,2004,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Group Lead,PPD
269,2008,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Dentist,Canopy Oak Dental
270,2008,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,Neurology Resident,USF
271,2008,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,Toxicologist,Univ. of Miami School of Medicine
272,2002,1,Chemistry,Natural Sciences,Government,Government and Social Services,Staff Director,Fl. Senate Cmte on Environmental Preservation & Conservation
273,2003,1,Chemistry,Natural Sciences,Research,STEM,Regulatory Affairs Intern,Genentech
274,2003,1,Chemistry,Natural Sciences,Education,Education,Asst. Professor & Dir. of Neuro-Oncology,University of Arkansas for Medical Sciences
275,2020,1,Chemistry,Natural Sciences,Higher education,Education,Coordinator for Student Success & Disability,New College of Florida
276,2002,1,Chemistry,Natural Sciences,Software Design,STEM,Software Developement Manager,Star2Star Communications
277,2008,1,Chemistry,Natural Sciences,Medical,Health and Medicine,"Senior Mgr., Immune, Respiratory, & Infectious",Regeneron
278,2016,1,Chemistry,Natural Sciences,Research,STEM,Scientist,Aetion
279,2005,1,Chemistry,Natural Sciences,Medical Research,Health and Medicine,Research Technician,MIT Center for Cancer Research
280,2003,1,Chemistry,Natural Sciences,Education,Education,Research Program Manager,University of Wisconsin-Madison
281,2007,1,Chemistry,Natural Sciences,Technology,STEM,Senior Manager,Lonza
282,2011,1,Chemistry,Natural Sciences,Software,STEM,Process Engineer,Intel
283,2003,1,Chemistry,Natural Sciences,Education,Education,PhD Candidate - Chemistry,Georgia Inst. of Technology
284,2013,1,Chemistry,Natural Sciences,Manufacturing,STEM,Optical Engineer,OSRAM
285,2004,1,Chemistry,Natural Sciences,Research,STEM,Senior Scientist II,L'Oréal
286,2011,1,Chemistry,Natural Sciences,Education,Education,PhD Researcher,University of British Columbia
287,2006,1,Chemistry,Natural Sciences,Medical Research,Health and Medicine,Medical Research Associate,Paraxel
288,2013,1,Chemistry,Natural Sciences,Software,STEM,Software Engineer,Concentric Sky
289,2013,1,Chemistry,Natural Sciences,Education,Education,Graduate Teaching Fellow,University of Oregon
290,2005,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Hospitalist,First Physcians Group
291,2003,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Founder,Vacuum Therapeutics
292,2002,1,Chemistry,Natural Sciences,Medical,Health and Medicine,Physcian,Johns Hopkins Kimmel Cancer Center
292,2002,2,Biology,Natural Sciences,Medical,Health and Medicine,Physcian,Johns Hopkins Kimmel Cancer Center
293,2014,1,Chemistry,Natural Sciences,Consulting,"Business, Finance, and Retail",Social Media Consultant,Self Employed
293,2014,2,Classics,Humanities,Consulting,"Business, Finance, and Retail",Social Media Consultant,Self Employed
294,2002,1,Chemistry,Natural Sciences,Education,Education,Associate Professor of Chemistry,U. of Georgia
294,2002,2,Physics,Natural Sciences,Education,Education,Associate Professor of Chemistry,U. of Georgia
295,2004,1,Art History,Humanities,Public Health,Health and Medicine,CDC Grant Corodinator,Arkansas Department of Health
295,2004,2,Chemistry,Natural Sciences,Public Health,Health and Medicine,CDC Grant Corodinator,Arkansas Department of Health
296,2013,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,NICU Registered Nurse,Johns Hopkins All Childrens Hospital
296,2013,2,Biology,Natural Sciences,Healthcare,Health and Medicine,NICU Registered Nurse,Johns Hopkins All Childrens Hospital
297,2015,1,Chemistry,Natural Sciences,Business,"Business, Finance, and Retail",SCADA Systems Analyst II,Whiting Petroleum Corporation
297,2015,2,Biology,Natural Sciences,Business,"Business, Finance, and Retail",SCADA Systems Analyst II,Whiting Petroleum Corporation
298,2014,1,Chemistry,Natural Sciences,Education,Education,NA,Unknown
298,2014,2,Biology,Natural Sciences,Education,Education,NA,Unknown
299,2014,1,Chemistry,Natural Sciences,Law,Government and Social Services,Associate,Knobbe Martens
299,2014,2,Biology,Natural Sciences,Law,Government and Social Services,Associate,Knobbe Martens
300,2018,1,Chemistry,Natural Sciences,Government,Government and Social Services,Pollution Control Inspector,Miami-Dade County
300,2018,2,Biology,Natural Sciences,Government,Government and Social Services,Pollution Control Inspector,Miami-Dade County
301,2015,1,Chemistry,Natural Sciences,Accounting,"Business, Finance, and Retail",Tax Intern,"BDO, USA LLP"
301,2015,2,Biology,Natural Sciences,Accounting,"Business, Finance, and Retail",Tax Intern,"BDO, USA LLP"
302,2017,1,Chemistry,Natural Sciences,Research,STEM,Research Assistant,Roskamp Institute
302,2017,2,Biology,Natural Sciences,Research,STEM,Research Assistant,Roskamp Institute
303,2015,1,Chemistry,Natural Sciences,Food and Lodging,"Business, Finance, and Retail",Barista,Starbucks
303,2015,2,Biology,Natural Sciences,Food and Lodging,"Business, Finance, and Retail",Barista,Starbucks
304,2017,1,Chemistry,Natural Sciences,Software,STEM,Machine Learning Engineer,Charles Schwab
304,2017,2,Biology,Natural Sciences,Software,STEM,Machine Learning Engineer,Charles Schwab
305,2015,1,Interdisciplinary,Interdisciplinary,Information Technology,STEM,Lead instructor,ID Tech Camps
305,2015,2,Chemistry,Natural Sciences,Information Technology,STEM,Lead instructor,ID Tech Camps
306,2015,1,Chemistry,Natural Sciences,Healthcare,Health and Medicine,Research Assistant,Roskamp Institute
306,2015,2,Physics,Natural Sciences,Healthcare,Health and Medicine,Research Assistant,Roskamp Institute
307,2012,1,Chinese Language and Culture,Humanities,Education,Education,Student,Nanjing University
308,2011,1,Chinese Language and Culture,Humanities,Home Improvement,"Business, Finance, and Retail",Designer / Office Assistant,"Gao's Cabinet's, INC"
309,2013,1,Chinese Language and Culture,Humanities,Education,Education,Assistant English Teacher,Misawa City Board of Education
310,2020,1,History,Social Sciences,Law,Government and Social Services,Legal Assistant,"O'Brien & Bennett, P.A."
310,2020,2,Chinese Language and Culture,Humanities,Law,Government and Social Services,Legal Assistant,"O'Brien & Bennett, P.A."
311,2003,1,Classics,Humanities,Unknown,Other,NA,unknown
312,2009,1,Classics,Humanities,Library,Education,Digital Imaging Technician,Jane Bancroft Cook Library
313,2008,1,Classics,Humanities,Attorney,Government and Social Services,Attorney at Law,"Shumaker, Loop & Kendrick, LLP"
314,2006,1,Classics,Humanities,Education,Education,NA,Oberlin College
315,2003,1,Classics,Humanities,Education,Education,Library Accountant,New College of Florida
316,2004,1,Classics,Humanities,Marine,STEM,Claims Manager,G&M Marine
317,2009,1,Classics,Humanities,Food Service,"Business, Finance, and Retail",Barista,Starbucks
318,2002,1,Classics,Humanities,Education,Education,Assistant Professor of Classics,Hamilton College
319,2016,1,Classics,Humanities,Data Science,STEM,Principal Data Scientist,UniGroup
320,2015,1,Classics,Humanities,Retail,"Business, Finance, and Retail",Sales Associate,The Walking Company
320,2015,2,Sociology,Social Sciences,Retail,"Business, Finance, and Retail",Sales Associate,The Walking Company
321,2005,1,Anthropology,Social Sciences,Education,Education,Teacher,Fusion Academy
321,2005,2,Classics,Humanities,Education,Education,Teacher,Fusion Academy
322,2005,1,Anthropology,Social Sciences,Non Profit,Government and Social Services,Sales & Accounting Associate,Food Tank
322,2005,2,Classics,Humanities,Non Profit,Government and Social Services,Sales & Accounting Associate,Food Tank
323,2010,1,Medieval & Renaissance Studies,Interdisciplinary,Unemployed,Other,NA,unemployed
323,2010,2,Classics,Humanities,Unemployed,Other,NA,unemployed
324,2020,1,Computer Science,Natural Sciences,Software,STEM,Software Engineer,Comcast
325,2016,1,Computer Science,Natural Sciences,Software,STEM,Software Engineer,Amazon
326,2017,1,Computer Science,Natural Sciences,Software,STEM,Software Engineer,Uber
327,2020,1,Computer Science,Natural Sciences,Software,STEM,iOS Software Engineer,The Climate Corporation
328,2020,1,Computer Science,Natural Sciences,Food and Lodging,"Business, Finance, and Retail",General Manager,The Palms At Indian Head
329,2020,1,Computer Science,Natural Sciences,Education,Education,Graduate Teaching Assistant,University of Illinois at Urbana-Champaign
330,2020,1,Computer Science,Natural Sciences,Software,STEM,Software Developer,Passage Technology
331,2020,1,Computer Science,Natural Sciences,Software,STEM,Software Developer,Prodigy Information Technologies
332,2018,1,Computer Science,Natural Sciences,Research,STEM,Research Engineer,Vision Systems Inc.
332,2018,2,Applied Mathematics,Natural Sciences,Research,STEM,Research Engineer,Vision Systems Inc.
333,2009,1,Computer Science,Natural Sciences,Education,Education,Graduate Student Researcher and Instructor,"University of California, Berkeley"
334,2011,1,Computer Science,Natural Sciences,IT Communications,STEM,Software Engineer,Cisco Systems
335,2010,1,Computer Science,Natural Sciences,Information Technology,STEM,Software Engineer,Collaborate MD
336,2006,1,Computer Science,Natural Sciences,Imaging,STEM,Software Engineer,Pegasus Imaging
337,2013,1,Biology,NA,Research,STEM,Grad Administrative Assistant,Ohio Water Resources Center
338,2015,1,International and Area Studies,Interdisciplinary,Non Profit,Government and Social Services,Research Specialist,Behavior Analyst Certification Board
338,2015,2,Chinese Language and Culture,Humanities,Non Profit,Government and Social Services,Research Specialist,Behavior Analyst Certification Board
339,2019,1,International and Area Studies,Interdisciplinary,Education,Education,Hebrew teaching Assistant,New College of Florida
339,2019,2,Anthropology,Social Sciences,Education,Education,Hebrew teaching Assistant,New College of Florida
340,2014,1,Biology,Natural Sciences,Museums and Institutions,Education,Environmental Archaeology Collections Assistant,Florida Museum of Natural History
341,2009,1,Economics,Social Sciences,Marketing,"Business, Finance, and Retail",Head of Growth Marketing,italist
342,2005,1,Economics,Social Sciences,Environmental Law,Government and Social Services,Summer Associate,Remy Moose Manley LLP
343,2006,1,Economics,Social Sciences,Business,"Business, Finance, and Retail",Founder and Priciple Data Scientist,Smart Data Science Solutions
344,2010,1,Economics,Social Sciences,Law,Government and Social Services,NA,Eversheds Sutherland (US) LLP
345,2013,1,Economics,Social Sciences,Marketing,"Business, Finance, and Retail",Market Research Analyst Intern,Polston Applied Technologies LLC
346,2016,1,Economics,Social Sciences,Marketing,"Business, Finance, and Retail",Business Development & Marketing Manager,Savino & Miller Design Studio
347,2010,1,Economics,Social Sciences,Business,"Business, Finance, and Retail","Trade Manager, Allocation & Yield",Flexport
348,2012,1,Economics,Social Sciences,Real Estate,"Business, Finance, and Retail",COO/CFO,MeetElise
349,2011,1,Economics,Social Sciences,Construction,STEM,Installed Sales Manager,DeGeorge Room Improvement
350,2010,1,Economics,Social Sciences,Education,Education,Graduate Student,Albert-Ludwigs Universität Freiburg
351,2012,1,Economics,Social Sciences,Government,Government and Social Services,Senior Economist,Government Accountability Office
352,2003,1,Economics,Social Sciences,Arts,Arts and Media,Owner,Marker Jen
353,2008,1,Economics,Social Sciences,Law,Government and Social Services,Law Clerk,American Civil Liberties Union (ACLU)
354,2010,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Regional Director,"Atlantic Union Equipment Finance, Inc."
355,2019,1,Economics,Social Sciences,Retail,"Business, Finance, and Retail",Retail Data Operations Specialist,Whole Foods Market
356,2002,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Equity Research Analyst,Wood Asset Management
357,2002,1,Economics,Social Sciences,Law,Government and Social Services,Associate,Ropes & Gray LLP
358,2008,1,Economics,Social Sciences,Government,Government and Social Services,Proposal Manager,RONCO Consulting Corporation
359,2005,1,Economics,Social Sciences,Law,Government and Social Services,Associate Attorney,Hill Ward Henderson
360,2003,1,Economics,Social Sciences,Food and Lodging,"Business, Finance, and Retail",Personal Chef,Smoking Goat Epicurean Arts / High Cove / Next Level Technol
361,2015,1,Economics,Social Sciences,Business,"Business, Finance, and Retail",Staff Accountant,Global Ordnance LLC
362,2004,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Owner and Counselor,Good Steward Financial
363,2013,1,Economics,Social Sciences,Unknown,Other,Intern,unknown
364,2014,1,Economics,Social Sciences,Non Profit,Government and Social Services,Call Center Representitive,Planned Parenthood
365,2013,1,Economics,Social Sciences,Construction,STEM,Flooring,Zip-Loc of SW Florida
366,2009,1,Economics,Social Sciences,Software,STEM,Software Engineer,PowerDMS
367,2013,1,Economics,Social Sciences,Consulting,"Business, Finance, and Retail",Transfer Pricing Senior Associate,Kroll
368,2006,1,Economics,Social Sciences,Defense & Space,Government and Social Services,Research Staff Member (Statistics),The Institute for Defense Analyses (IDA)
369,2010,1,Economics,Social Sciences,Arts,Arts and Media,Multimedia Designer,Ideal Properties Group
370,2009,1,Economics,Social Sciences,Marketing,"Business, Finance, and Retail",Senior Product Analyst,MailChimp
371,2006,1,Economics,Social Sciences,Banking,"Business, Finance, and Retail",Director of Development,Alternatives Federal Credit Union
372,2002,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Financial Advisor,"Morgan Stanley, Inc."
373,2013,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Founder & Financial Advisor,Greenspace Financial
374,2011,1,Economics,Social Sciences,Pharmaceutical,Health and Medicine,Neurology Account Rep,Lundbeck
375,2003,1,Economics,Social Sciences,Law,Government and Social Services,Sole Practicioner,"Mariah Holder, Esq."
376,2012,1,Economics,Social Sciences,Information Technology,STEM,Associate Data Engineer,United Healthcare
377,2018,1,Economics,Social Sciences,Real Estate,"Business, Finance, and Retail",Realtor & Office Manager,"Stofel & Associates Realty, Inc"
378,2008,1,Economics,Social Sciences,Arts,Arts and Media,Artist - octopus jewelry,self employed
379,2009,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Banker,BBUA Compass
380,2013,1,Economics,Social Sciences,Law,Government and Social Services,Attorney,Goldfarb & Lipman
381,2010,1,Economics,Social Sciences,Museums and Institutions,Education,Independent Contractor,Smithsonian
382,2004,1,International and Area Studies,Interdisciplinary,Banking,"Business, Finance, and Retail",NA,World Bank Institute Evaluation Group
382,2004,2,Economics,Social Sciences,Banking,"Business, Finance, and Retail",NA,World Bank Institute Evaluation Group
383,2003,1,International and Area Studies,Interdisciplinary,Nonprofit,Government and Social Services,Researcher,Hispanic/Latino Coalition
383,2003,2,Economics,Social Sciences,Nonprofit,Government and Social Services,Researcher,Hispanic/Latino Coalition
384,2010,1,International and Area Studies,Interdisciplinary,Banking,"Business, Finance, and Retail","Assistant VP, Document Administrator III",Bank of America
384,2010,2,Economics,Social Sciences,Banking,"Business, Finance, and Retail","Assistant VP, Document Administrator III",Bank of America
385,2002,1,International and Area Studies,Interdisciplinary,Law,Government and Social Services,Associate Attorney,"Saxon, Gilmore, Carraway"
385,2002,2,Economics,Social Sciences,Law,Government and Social Services,Associate Attorney,"Saxon, Gilmore, Carraway"
386,2010,1,Economics,Social Sciences,Education,Education,Asst Professor,College of William & Mary
386,2010,2,Mathematics,Natural Sciences,Education,Education,Asst Professor,College of William & Mary
387,2013,1,Economics,Social Sciences,Attorney,Government and Social Services,Associate,Young Conaway
387,2013,2,Political Science,Social Sciences,Attorney,Government and Social Services,Associate,Young Conaway
388,2018,1,Economics,Social Sciences,Government,Government and Social Services,Economist,Bureau of Labor Statistics
388,2018,2,Political Science,Social Sciences,Government,Government and Social Services,Economist,Bureau of Labor Statistics
389,2010,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Financial Economist,FDIC
389,2010,2,Public Policy,Interdisciplinary,Financial Services,"Business, Finance, and Retail",Financial Economist,FDIC
390,2011,1,International and Area Studies,Interdisciplinary,Government,Government and Social Services,Economist,US Dept of Homeland Security
390,2011,2,Economics,Social Sciences,Government,Government and Social Services,Economist,US Dept of Homeland Security
391,2010,1,Applied Mathematics,Natural Sciences,Investment banking,"Business, Finance, and Retail",Analyst,Ranieri Real Estate Advisors
391,2010,2,Economics,Social Sciences,Investment banking,"Business, Finance, and Retail",Analyst,Ranieri Real Estate Advisors
392,2018,1,Applied Mathematics,Natural Sciences,Higher education,Education,Residence Hall Director,New College
392,2018,2,Economics,Social Sciences,Higher education,Education,Residence Hall Director,New College
393,2015,1,Applied Mathematics,Natural Sciences,Medical,Health and Medicine,Senior Health Economics Analyst,UF Health
393,2015,2,Economics,Social Sciences,Medical,Health and Medicine,Senior Health Economics Analyst,UF Health
394,2008,1,Economics,Social Sciences,Psychotherapy,Health and Medicine,Psychiatrist,James A Haley VA Hospital
394,2008,2,Biology,Natural Sciences,Psychotherapy,Health and Medicine,Psychiatrist,James A Haley VA Hospital
395,2005,1,Economics,Social Sciences,Unknown,Other,NA,unknown
395,2005,2,Biology,Natural Sciences,Unknown,Other,NA,unknown
396,2007,1,Economics,Social Sciences,Education,Education,Professor - Economics,University of Florida
396,2007,2,Environmental Studies,Interdisciplinary,Education,Education,Professor - Economics,University of Florida
397,2018,1,Economics,Social Sciences,Farming,STEM,Florist,Krull-Smith
397,2018,2,Economics,Social Sciences,Farming,STEM,Florist,Krull-Smith
398,2019,1,Economics,Social Sciences,Business Consulting,"Business, Finance, and Retail",Security Consulting Analyst,Accenture CIPP/E
398,2019,2,Economics,Social Sciences,Business Consulting,"Business, Finance, and Retail",Security Consulting Analyst,Accenture CIPP/E
399,2019,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Business Analyst,Unum
399,2019,2,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Business Analyst,Unum
400,2016,1,Economics,Social Sciences,Banking,"Business, Finance, and Retail",Sr. Data Analyst,MapleMark Bank
400,2016,2,Economics,Social Sciences,Banking,"Business, Finance, and Retail",Sr. Data Analyst,MapleMark Bank
401,2020,1,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Business Analyst,FIS
401,2020,2,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Business Analyst,FIS
402,2012,1,Gender Studies,Social Sciences,Education,Education,teaching assistant,University of Utah
402,2012,2,Economics,Social Sciences,Education,Education,teaching assistant,University of Utah
403,2014,1,International and Area Studies,Interdisciplinary,Business Consulting,"Business, Finance, and Retail",Business Analyst,Sequoya Group
403,2014,2,Economics,Social Sciences,Business Consulting,"Business, Finance, and Retail",Business Analyst,Sequoya Group
404,2018,1,International and Area Studies,Interdisciplinary,Insurance,"Business, Finance, and Retail",Insurance Advisor,Dees Insurance Group
404,2018,2,Economics,Social Sciences,Insurance,"Business, Finance, and Retail",Insurance Advisor,Dees Insurance Group
405,2002,1,International and Area Studies,Interdisciplinary,Sports Management,"Business, Finance, and Retail",Staff,IMG Academies
405,2002,2,Economics,Social Sciences,Sports Management,"Business, Finance, and Retail",Staff,IMG Academies
406,2010,1,Mathematics,Natural Sciences,Education,Education,PhD Student,University of Georgia
406,2010,2,Economics,Social Sciences,Education,Education,PhD Student,University of Georgia
407,2014,1,Mathematics,Natural Sciences,Education,Education,Teaching Assistant,University of Wisconsin-Madison
407,2014,2,Economics,Social Sciences,Education,Education,Teaching Assistant,University of Wisconsin-Madison
408,2009,1,Mathematics,Natural Sciences,Financial Services,"Business, Finance, and Retail",Leveraged Finance Analyst,CitiGroup
408,2009,2,Economics,Social Sciences,Financial Services,"Business, Finance, and Retail",Leveraged Finance Analyst,CitiGroup
409,2020,1,Urban Studies,Interdisciplinary,Research,STEM,Research Assistant,Realize Bradenton
409,2020,2,Economics,Social Sciences,Research,STEM,Research Assistant,Realize Bradenton
410,2004,1,Economics,Social Sciences,Law,Government and Social Services,Assistant Federal Defender,Middle District of Florida Federal Public Defender
410,2004,2,Political Science,Social Sciences,Law,Government and Social Services,Assistant Federal Defender,Middle District of Florida Federal Public Defender
411,2008,1,Economics,Social Sciences,Law,Government and Social Services,Attorney,Sims and Sims LLP
411,2008,2,Political Science,Social Sciences,Law,Government and Social Services,Attorney,Sims and Sims LLP
412,2014,1,English,Humanities,Marketing,"Business, Finance, and Retail",Virtual Marketing Assistant,Equivity
413,2010,1,English,Humanities,Marketing,"Business, Finance, and Retail",NA,Micro Focus International
414,2010,1,English,Humanities,Education,Education,Graduate Student & Published Author,Columbia College Chicago
415,2015,1,English,Humanities,Education,Education,Montessori English Teacher,Sunshine Home Montessori School
416,2014,1,English,Humanities,Non Profit,Government and Social Services,NA,Unknown
417,2011,1,English,Humanities,Software,STEM,Quality Assurance Engineer,YourMembership
418,2015,1,English,Humanities,Marketing,"Business, Finance, and Retail",Digital Marketing Manager,Informa Markets
419,2010,1,English,Humanities,Arts,Arts and Media,Technical Director,New College - Black Box Theatre
420,2019,1,English,Humanities,Business,"Business, Finance, and Retail",Content Writer,Webstaurantstore.com
421,2012,1,English,Humanities,Non Profit,Government and Social Services,Marketing Director,The Maryland Multi-Housing Association
422,2011,1,English,Humanities,Software,STEM,Site Reliability Engineer,MemberClicks
423,2016,1,English,Humanities,Media,Arts and Media,Freelance writer,Freelance writer
424,2014,1,English,Humanities,Education,Education,Alumni Coordinator,State College of Florida Foundation
425,2020,1,English,Humanities,Media,Arts and Media,Social Media Manager (freelance),Nuovo Bride Magazine and Events
426,2011,1,English,Humanities,Publishing,Arts and Media,Editor,Unknown
427,2014,1,English,Humanities,Education,Education,Teaching Assistant,University of Mississippi
428,2013,1,English,Humanities,Shipping,"Business, Finance, and Retail",Processor,Shipping
429,2020,1,Interdisciplinary,Interdisciplinary,Communications,Arts and Media,Communications Specialist,Pinellas County Tax Collector
429,2020,2,English,Humanities,Communications,Arts and Media,Communications Specialist,Pinellas County Tax Collector
430,2013,1,English,Humanities,Education,Education,Operations Manager,USF Health
430,2013,2,Art History,Humanities,Education,Education,Operations Manager,USF Health
431,2013,1,English,Humanities,Human Resources,"Business, Finance, and Retail",Employment Specialist,Green Door Behavioral Health
431,2013,2,Gender Studies,Social Sciences,Human Resources,"Business, Finance, and Retail",Employment Specialist,Green Door Behavioral Health
432,2014,1,History,Social Sciences,Software,STEM,Senior Software Engineer,Emissary
432,2014,2,English,Humanities,Software,STEM,Senior Software Engineer,Emissary
433,2012,1,Philosophy,Humanities,Publishing,Arts and Media,Editor,Poloi Players' Editron Magazine
433,2012,2,English,Humanities,Publishing,Arts and Media,Editor,Poloi Players' Editron Magazine
434,2013,1,English,Humanities,Non Profit,Government and Social Services,Development and Event Coordinator,Planned Parenthood
434,2013,2,Russian Language and Literature,Humanities,Non Profit,Government and Social Services,Development and Event Coordinator,Planned Parenthood
435,2008,1,Biology,Natural Sciences,Education,Education,Research Assistant,Yale School of Forestry & Environmental Studies
436,2007,1,Biology,Natural Sciences,Healthcare,Health and Medicine,Epidemiologist,Centers for Disease Control and Prevention
436,2007,2,Environmental Studies,Interdisciplinary,Healthcare,Health and Medicine,Epidemiologist,Centers for Disease Control and Prevention
437,2015,1,Environmental Studies,Interdisciplinary,Government,Government and Social Services,Forestry Tecnician,US Forest Service
